"","alcohol","sulfatos","ácido_cítrico","acidez_fija","calidad"
"116",10.5,0.63,0.31,9.4,6
"117",10,0.61,0.28,8.3,6
"118",9.4,0.5,0.12,7.8,6
"119",10.9,0.6,0.04,8.8,6
"120",9.2,0.54,0.08,7,6
"121",9,0.57,0.09,7.3,5
"122",10.9,0.6,0.04,8.8,6
"123",9.2,0.52,0,7.3,5
"124",9.5,0.53,0,8,5
"125",9.5,0.48,0.17,7.8,5
"126",9.4,0.7,0.04,9,5
"127",10.9,0.49,0,8.2,5
"128",10.9,0.48,0,8.1,5
"129",10.5,0.92,0.16,8,7
"130",9.4,0.57,0.15,6.1,5
"131",9.4,0.66,0.56,8,5
"132",13,0.63,0.09,5.6,5
"133",13,0.63,0.09,5.6,5
"134",9.8,0.58,0.01,6.6,6
"135",9.9,0.55,0.05,7.9,6
"136",9.6,0.82,0.11,8.4,5
"137",9.5,0.77,0.15,8.3,5
"138",9.2,0.64,0.36,7.2,5
"139",9.5,0.54,0.19,7.8,5
"140",9.5,0.54,0.19,7.8,5
"141",9.6,0.82,0.11,8.4,5
"142",9.5,0.77,0.15,8.3,5
"143",14,0.79,0,5.2,6
"144",9.4,0.58,0.08,6.3,5
"145",14,0.79,0,5.2,6
"146",9.4,0.62,0.55,8.1,5
"147",10,0.52,0.02,5.8,5
"148",9.3,0.8,0.26,7.6,5
"149",10.2,0.58,0.1,6.9,6
"150",10.5,0.61,0.44,8.2,6
"151",10.3,0.53,0.47,7.3,6
"152",9.4,2,1,9.2,4
"153",10.1,0.54,0.03,7.5,5
"154",10.1,0.54,0.03,7.5,5
"155",10.5,0.72,0.42,7.1,5
"156",10.5,0.71,0.42,7.1,5
"157",10.5,0.72,0.42,7.1,5
"158",10.5,0.71,0.42,7.1,5
"159",9.3,0.5,0,7.1,5
"160",9.3,0.57,0.18,6.8,6
"161",9.6,0.56,0.03,7.6,5
"162",9.2,1.08,0.02,7.6,4
"163",10,0.56,0.04,7.8,6
"164",9.4,0.49,0.26,7.4,5
"165",9.4,0.49,0.26,7.3,5
"166",9.5,0.62,0.48,7.8,5
"167",10.2,0.52,0.1,6.8,5
"168",9,0.48,0.03,7.3,4
"169",10.4,0.55,0.07,6.8,6
"170",9.5,1.59,0.24,7.5,5
"171",9.1,0.33,0.03,7.9,4
"172",9.2,0.61,0.17,8,6
"173",9.2,0.61,0.17,8,6
"174",11.5,0.57,0.05,7.4,6
"175",9.5,0.47,0.21,7.3,5
"176",9.5,0.78,0.04,6.9,5
"177",9.5,0.47,0.21,7.3,5
"178",10.5,0.61,0.42,7.5,6
"179",9.6,0.56,0,7,5
"180",9.5,0.59,0.14,8.8,5
"181",9.5,0.59,0.14,8.8,5
"182",9.3,1.02,0.49,8.9,5
"183",9.3,0.52,0.02,7.2,5
"184",9.3,0.58,0.2,6.8,5
"185",9.3,0.58,0.21,6.7,6
"186",9.7,0.53,0.57,8.9,5
"187",9.2,0.55,0.48,7.4,5
"188",9.7,0.49,0.1,7.7,5
"189",9.5,0.55,0.33,7.9,5
"190",9.5,0.55,0.32,7.9,5
"191",9.4,0.62,0.35,8.2,5
"192",9.8,0.62,0.25,6.4,6
"193",9.5,0.61,0.12,6.8,5
"194",9.7,0.55,0.21,7.6,5
"195",9.7,0.55,0.21,7.6,5
"196",9.4,0.54,0.33,7.8,5
"197",10.2,0.59,0.3,7.3,5
"198",10.1,0.97,0.6,11.5,6
"199",13,0.85,0.08,5.4,7
"200",11.4,0.43,0.06,6.9,4
"201",10.3,0.82,0.47,9.6,7
"202",9.3,1.03,0.48,8.8,5
"203",9.5,0.79,0.11,6.8,5
"204",9.2,0.55,0.35,7,5
"205",9.2,0.56,0.36,7,6
"206",10.8,0.77,0.74,12.8,7
"207",10.8,0.77,0.74,12.8,7
"208",9.3,0.53,0.31,7.8,5
"209",9.4,0.67,0.28,7.8,5
"210",10.5,0.88,0.58,11,7
"211",12.4,0.86,0.6,9.7,6
"212",10,0.56,0.24,8,6
"213",10.2,0.67,0.64,11.6,6
"214",10.1,0.43,0.26,8.2,5
"215",9.8,0.71,0.08,7.8,6
"216",10.5,0.76,0.49,7,5
"217",11,0.57,0.16,8.7,5
"218",9.1,0.55,0.22,8.1,5
"219",9.7,0.54,0.19,7.5,5
"220",9.5,0.6,0.33,7.8,5
"221",9.4,0.59,0.37,7.8,6
"222",9.4,0.57,0.26,7.4,5
"223",9.5,0.6,0.04,6.8,5
"224",10,0.6,0.25,8.6,6
"225",10.4,0.57,0.36,8.4,4
"226",10.5,0.58,0.25,7.7,6
"227",9.5,1.61,0.5,8.9,6
"228",9.8,0.63,0.14,9,5
"229",10.5,0.58,0.25,7.7,6
"230",11,0.5,0.25,6.9,5
"231",12.2,0.62,0.04,5.2,7
"232",9.9,0.52,0.06,8,6
"233",9.6,0.7,0.2,8.5,6
"234",11,0.5,0.25,6.9,5
"235",9,0.55,0.09,8.2,6
"236",9,0.58,0,7.2,6
"237",9,0.58,0,7.2,6
"238",9.2,0.58,0,7.2,6
"239",9,0.58,0,7.2,6
"240",9,0.55,0.09,8.2,6
"241",9.3,1.09,0.37,8.9,5
"242",10.9,0.71,0.56,12,6
"243",9.8,0.49,0.1,7.7,6
"244",9.2,0.84,0.44,15,7
"245",9.2,0.84,0.44,15,7
"246",9.9,0.96,0,7.3,6
"247",9.5,0.52,0.07,7.1,5
"248",9.3,0.45,0.17,8.2,5
"249",9.8,0.48,0.06,7.7,6
"250",9.9,0.96,0,7.3,6
"251",10,0.78,0.44,10.8,6
"252",9.9,0.7,0,7.1,6
"253",10.5,0.53,0.48,11.1,5
"254",9.5,0.59,0.42,7.7,5
"255",9.9,0.7,0,7.1,6
"256",9.3,0.57,0.23,8,5
"257",9.2,0.62,0.37,9.4,5
"258",9.2,0.67,0,6.6,5
"259",9.4,1.26,0.76,7.7,5
"260",10.5,0.8,0.47,10,7
"261",9.3,0.65,0.23,7.9,5
"262",9.4,0.6,0.04,7,4
"263",10,0.57,0.03,8,5
"264",9.3,0.67,0.23,7.9,5
"265",10.9,0.87,0.49,12.5,5
"266",10.2,0.72,0.52,11.8,7
"267",9.8,0.72,0,8.1,4
"268",12.8,0.86,0.46,7.9,8
"269",9.4,0.91,0.04,6.9,6
"270",10.1,0.97,0.51,11.5,6
"271",10.7,0.67,0.06,7.9,6
"272",10.1,0.97,0.51,11.5,6
"273",10.1,0.78,0.58,10.9,5
"274",9.4,0.64,0.2,8.4,5
"275",9.4,0.77,0.18,7.5,5
"276",10.7,0.67,0.06,7.9,6
"277",9.4,0.91,0.04,6.9,6
"278",10.1,0.97,0.51,11.5,6
"279",12.6,0.82,0.45,10.3,8
"280",10.5,0.77,0.32,8.9,7
"281",9.3,0.82,0.44,11.4,6
"282",9.9,1.08,0.68,7.7,7
"283",9.1,0.57,0.12,7.6,5
"284",10.5,0.77,0.32,8.9,7
"285",9.8,0.71,0.07,9.9,5
"286",9.8,0.71,0.07,9.9,5
"287",10.3,0.76,0.55,12,6
"288",10.3,0.7,0.12,7.5,6
"289",10.6,0.86,0.09,8.7,7
"290",9.2,0.95,0.53,11.6,5
"291",10.6,0.86,0.09,8.7,7
"292",10.5,0.71,0.48,11,5
"293",10.3,0.64,0.23,10.4,6
"294",10.1,0.6,0.25,6.9,6
"295",9.5,0.81,0.52,13.3,6
"296",9.5,0.64,0.46,10.8,5
"297",9.9,0.52,0.37,10.6,5
"298",9.6,0.73,0.06,7.1,5
"299",9.7,0.8,0.02,7.2,5
"300",9.6,0.71,0.06,6.9,5
"301",10.7,0.59,0.06,7.5,6
"302",10.1,0.64,0.48,11.1,6
"303",10,0.72,0.12,8.3,5
"304",9.5,0.54,0.12,7.4,5
"305",9.2,0.52,0.6,8.4,5
"306",9.3,0.59,0.48,10.3,6
"307",9.4,0.52,0.32,7.6,5
"308",9.5,0.62,0.42,10.3,6
"309",9.5,0.63,0.44,10.3,6
"310",9.5,0.53,0.38,7.4,6
"311",9.3,0.59,0.48,10.3,6
"312",9.4,0.54,0.24,7.9,6
"313",9.5,0.63,0.31,9,6
"314",9.4,0.53,0.3,8.6,5
"315",11,0.68,0.29,7.4,5
"316",11,0.65,0.29,7.1,6
"317",10.1,0.65,0.23,9.6,5
"318",10.4,0.64,0.12,9.6,6
"319",11.5,0.71,0.39,9.8,7
"320",10.4,0.64,0.12,9.6,6
"321",11.5,0.71,0.39,9.8,7
"322",9.7,0.62,0.26,9.3,5
"323",9.3,0.63,0.05,7.8,5
"324",9.5,0.7,0.42,10.3,6
"325",9.2,0.69,0.2,10,6
"326",9.2,0.69,0.2,10,6
"327",11.5,0.74,0.66,11.6,7
"328",11.5,0.83,0.5,10.3,5
"329",9.7,0.67,0.62,13.4,6
"330",9.5,0.62,0.39,10.7,5
"331",12.5,0.66,0.64,10.2,6
"332",12.5,0.66,0.64,10.2,6
"333",9.4,0.54,0.28,8,6
"334",11,0.52,0.08,8.4,5
"335",11.7,0.74,0.01,7.9,7
"336",12.2,0.84,0.53,11.9,7
"337",12.5,0.7,0.45,8.9,6
"338",10.3,0.64,0.32,7.8,5
"339",11.5,1,0.58,12.4,6
"340",9.8,1.36,0.54,12.5,7
"341",9.2,1.18,0.5,12.2,6
"342",11.3,0.87,0.48,10.6,6
"343",9.8,0.75,0.47,10.9,6
"344",9.8,0.75,0.47,10.9,6
"345",10.7,0.78,0.5,11.9,6
"346",9.9,0.81,0,7,5
"347",12.3,0.89,0.02,6.6,7
"348",12,0.93,0.67,13.8,6
"349",10,0.92,0.31,9.6,6
"350",9.4,0.86,0,9.1,6
"351",9.9,0.98,0.22,10.7,6
"352",9.4,0.83,0,9.1,6
"353",9.3,0.73,0,7.7,5
"354",13,0.77,0.79,13.5,5
"355",11.9,0.59,0.4,6.1,6
"356",12.8,0.61,0.01,6.7,6
"357",11,0.88,0.52,11.5,5
"358",11.7,0.75,0.66,10.5,7
"359",10.4,0.85,0.66,11.9,7
"360",9.8,0.68,0.66,12.6,6
"361",9.4,0.7,0.23,8.2,5
"362",9.9,0.91,0.31,8.6,6
"363",10,0.56,0.66,11.9,5
"364",10.2,0.87,0.63,12.5,5
"365",10,0.73,0.66,12.8,7
"366",11.8,0.93,0.5,10,6
"367",10,0.73,0.66,12.8,7
"368",9,0.69,0.61,10.4,5
"369",9.4,0.64,0.52,10.3,5
"370",12,1.13,0.53,9.4,7
"371",9.9,0.78,0.02,6.9,5
"372",8.7,0.87,0.4,7.9,6
"373",10.6,1.04,0.48,9.1,6
"374",9.2,0.63,0.22,7.4,5
"375",10.8,0.81,0.63,14,6
"376",11.8,0.83,0.71,11.5,7
"377",11,1.11,0.5,11.5,6
"378",12,1.13,0.53,9.4,7
"379",13.3,0.99,0.66,11.4,6
"380",10.8,0.7,0.38,8.3,6
"381",9.4,0.8,0.42,8.3,6
"382",10,0.8,0.68,13.7,6
"383",9.4,0.8,0.42,8.3,6
"384",9.4,0.8,0.42,8.3,6
"385",9.2,0.74,0.28,7.7,5
"386",9.7,0.76,0.07,7.4,6
"387",9.2,0.74,0.26,7.8,6
"388",9.6,0.54,0.15,8.3,6
"389",9.2,0.74,0.26,7.8,6
"390",10,0.7,0.31,9.6,7
"391",12.9,0.82,0.05,5.6,8
"392",10,0.8,0.68,13.7,6
"393",9.5,0.51,0.52,9.5,5
"394",9.1,0.54,0.61,8.4,5
"395",9.9,0.57,0.65,12.7,5
"396",13,0.6,0.76,12,7
"397",9.9,0.53,0.02,6.6,5
"398",11,0.65,0.59,11.5,6
"399",11,0.65,0.59,11.5,6
"400",9.4,0.55,0.22,8.7,5
"401",9.9,0.53,0.02,6.6,5
"402",10.8,0.47,0.3,7.7,6
"403",10.5,0.61,0.54,12.2,6
"404",10.5,0.63,0.49,11.4,6
"405",9.1,0.61,0.05,7.7,5
"406",10.1,0.76,0.46,8.7,6
"407",10.8,0.65,0.47,9.8,6
"408",10.8,0.63,0.66,12,7
"409",11.3,0.7,0.58,10.4,6
"410",9.6,0.57,0.49,12.5,4
"411",9.5,0.62,0.34,9,6
"412",9.5,0.62,0.35,9.1,5
"413",9.3,0.64,0.16,7.1,5
"414",11.7,0.82,0.53,9.9,7
"415",9.5,0.61,0.34,8.8,5
"416",9.3,1.07,0.24,8.6,5
"417",11.7,0.66,0.64,10.6,6
"418",10.5,0.48,0.12,7,5
"419",10.4,0.76,0.51,11.9,6
"420",9.9,0.68,0,6.8,5
"421",11.8,0.73,0.33,9.5,7
"422",12.3,0.56,0.03,6.6,7
"423",10.9,0.44,0.2,7.7,5
"424",11,0.9,0.47,10.5,7
"425",10.9,0.44,0.2,7.7,5
"426",12.3,0.56,0.03,6.6,7
"427",11.4,0.49,0.08,6.4,6
"428",10.6,0.56,0.22,9.5,6
"429",9.3,0.6,0.33,9.1,5
"430",10.4,0.6,0.63,12.8,6
"431",11,0.9,0.47,10.5,7
"432",9.2,0.56,0.35,7.8,5
"433",12.8,0.65,0.69,11.9,6
"434",9.5,0.49,0.63,12.3,5
"435",9.9,0.89,0.55,10.4,6
"436",9.5,0.49,0.63,12.3,5
"437",10.2,0.56,0.3,8,6
"438",11.2,0.66,0.73,11.1,6
"439",9.9,0.89,0.55,10.4,6
"440",9.3,0.6,0.18,7,5
"441",9.8,0.82,0.72,12.6,8
"442",11.3,0.68,0.65,11.9,6
"443",11.2,0.68,0.76,15.6,7
"444",11.6,0.63,0.49,10,7
"445",12.5,0.84,0.01,5.3,7
"446",10.1,0.56,0.1,9.5,6
"447",10.5,0.73,0.6,12.5,5
"448",11.2,0.72,0.29,9.3,5
"449",10.2,0.56,0.22,8.6,6
"450",10.8,0.61,0.69,11.9,6
"451",10.8,0.61,0.69,11.9,6
"452",9.1,1.06,0.53,8.4,6
"453",10,0.63,0.03,6.8,6
"454",11.2,0.74,0.63,10.4,7
"455",11.1,0.63,0.4,7,5
"456",13.4,0.69,0.67,11.3,8
"457",10.3,0.58,0.39,8.9,5
"458",9.6,0.58,0.21,9.2,5
"459",11.2,0.74,0.63,10.4,7
"460",9,0.57,0.66,11.6,3
"461",11.3,0.61,0.52,9.2,6
"462",9.3,0.61,0.22,8.3,5
"463",11.8,0.61,0.68,11,5
"464",9,0.53,0.7,8.1,5
"465",9.2,0.7,0.54,11.5,6
"466",9.7,0.91,0.4,10,5
"467",11.5,0.72,0.42,10.3,6
"468",14,0.79,0.45,8.8,6
"469",9.2,0.62,0.69,11.4,6
"470",9.8,0.58,0.02,8.7,5
"471",10.6,0.61,0.65,13,5
"472",11.4,0.71,0.42,9.6,6
"473",10.4,0.82,0.55,12.5,6
"474",10.6,0.79,0.55,9.9,5
"475",9.4,0.89,0.51,10.5,6
"476",10.2,0.6,0.24,9.6,5
"477",9.7,0.7,0.41,9.3,5
"478",11,1.06,0.49,10.4,6
"479",10.2,0.6,0.24,9.6,5
"480",10.1,0.7,0.11,9.4,6
"481",9.2,0.66,0.39,10.6,5
"482",11.7,0.92,0.56,9.4,8
"483",9.4,1.05,0.59,10.6,5
"484",9.4,1.06,0.6,10.6,5
"485",13.4,0.66,0.68,10.6,6
"486",10,0.47,0.39,10.2,5
"487",10,0.47,0.39,10.2,5
"488",10,0.42,0.36,10.2,6
"489",10.8,0.92,0.55,11.6,7
"490",10.2,0.75,0.4,9.3,6
"491",10.6,0.67,0.27,9.3,6
"492",13.3,0.79,0.5,9.2,7
"493",13.4,0.9,0.51,8.9,7
"494",11.6,0.74,0.31,8.7,6
"495",12.1,0.55,0.23,6.5,6
"496",11,0.65,0.53,10.7,8
"497",9,0.65,0.25,7.8,6
"498",11.1,0.79,0.32,7.2,5
"499",11,0.65,0.53,10.7,8
"500",11.6,0.74,0.31,8.7,6
"501",9,0.65,0.25,7.8,6
"502",12,0.85,0.73,10.4,7
"503",12,0.85,0.73,10.4,7
"504",10.9,1.04,0.47,10.5,7
"505",10.8,1.05,0.42,10.5,7
"506",12.5,0.78,0.63,10.2,7
"507",10.8,1.02,0.46,10.4,7
"508",9.5,0.71,0.55,11.2,6
"509",10.2,0.63,0.31,10,6
"510",11.4,0.68,0.75,13.3,7
"511",9.5,0.61,0.49,12.4,5
"512",10.2,0.63,0.31,10,6
"513",9.7,0.81,0.48,10.7,6
"514",11.8,0.66,0.64,10.5,7
"515",11.8,0.66,0.64,10.5,7
"516",9.3,1.14,0.49,8.5,5
"517",11.9,0.74,0.49,12.5,6
"518",8.4,0.63,0.49,10.4,3
"519",11.7,0.68,0.49,10.9,6
"520",11,0.78,0.49,7.3,5
"521",10,0.9,0.49,9.8,6
"522",9.1,0.64,0.49,7.6,5
"523",9.8,0.99,0.49,8.2,5
"524",9.4,0.55,0.49,9.3,5
"525",9.5,0.64,0.49,9.2,5
"526",9.9,0.67,0.24,10.4,5
"527",11,0.78,0.49,7.3,5
"528",11.4,0.77,0.49,7,6
"529",8.7,0.75,0.49,8.2,6
"530",9.4,0.57,0.24,9.9,5
"531",10.3,0.87,0.24,9.1,6
"532",10.3,0.61,0.49,11.9,5
"533",10.3,0.61,0.49,11.9,5
"534",12.8,0.66,0.24,10.3,6
"535",10,0.56,0.24,10,6
"536",10.3,0.87,0.24,9.1,6
"537",9.4,0.57,0.24,9.9,5
"538",10.7,0.77,0.24,8.1,6
"539",12,0.66,0.49,12.9,7
"540",11.2,0.62,0.74,11.2,5
"541",9.6,0.67,0.24,9.2,5
"542",11,0.73,0.49,9.5,6
"543",9.9,0.59,0.24,9.3,5
"544",11,0.72,0.24,11.2,6
"545",8.4,0.79,0.74,14.3,6
"546",9.1,0.59,0.49,9.1,5
"547",9.5,0.78,0.24,7.5,6
"548",10.7,0.86,0.49,10.6,6
"549",10.4,0.75,0.49,12.4,6
"550",9.4,0.61,0.49,9,6
"551",9.5,0.56,0.01,6.8,6
"552",10,0.73,0.24,9.4,6
"553",10,0.74,0.24,9.5,6
"554",11.5,0.62,0.24,5,5
"555",11.1,0.74,0.49,15.5,5
"556",11.1,0.74,0.49,15.5,5
"557",11.7,0.56,0.49,10.9,6
"558",11.1,0.74,0.49,15.6,5
"559",11.7,0.56,0.49,10.9,6
"560",12.7,0.68,0.49,13,6
"561",11.4,0.57,0.49,12.7,5
"562",9.2,0.58,0.49,9,5
"563",9.2,0.61,0.49,9,5
"564",10.1,0.61,0.49,7.6,6
"565",12.7,0.68,0.49,13,6
"566",11.4,0.57,0.49,12.7,5
"567",9,0.6,0.24,8.7,6
"568",9,0.6,0.24,8.7,6
"569",10.7,0.79,0.49,9.8,6
"570",11.7,0.57,0.24,6.2,6
"571",11,0.91,0.49,11.5,6
"572",11.7,0.57,0.24,6.2,6
"573",10.4,0.61,0.49,10.2,5
"574",9.6,0.56,0.49,10.5,4
"575",10,0.7,0.49,10.6,6
"576",10.2,0.8,0.49,12.3,6
"577",10,0.52,0.24,9.9,4
"578",9.5,0.6,0.49,8.8,5
"579",9.8,0.6,0.49,8.8,5
"580",9.8,0.51,0.49,10.6,6
"581",9.6,0.44,0.49,12.3,5
"582",9.6,0.44,0.49,12.3,5
"583",9.2,0.43,0.49,11.7,5
"584",9.9,0.66,0.49,12,7
"585",10.7,0.76,0.49,11.8,7
"586",9.6,0.66,0.24,7.6,6
"587",10.6,1.02,0.49,11.1,7
"588",9.3,0.59,0.24,7.3,5
"589",14,0.74,0.24,5,8
"590",10.5,0.74,0.49,10.2,7
"591",9.7,0.57,0.49,9,5
"592",11.5,0.5,0.49,6.6,6
"593",9.7,0.57,0.49,9,5
"594",9,0.58,0.58,9.9,5
"595",9.5,0.53,0.17,7.9,5
"596",9.3,0.57,0.41,8.9,5
"597",9.3,0.6,0.51,12.4,6
"598",10,0.63,0.58,11.9,6
"599",9.8,0.48,0.18,8.5,6
"600",9.3,0.7,0.45,12.7,6
"601",10,0.47,0.27,8.2,4
"602",9,0.56,0.52,13.2,6
"603",9.3,0.52,0,7.7,5
"604",9,0.56,0.52,13.2,6
"605",9.1,0.62,0.13,8.3,6
"606",9.2,0.59,0.13,8.3,6
"607",12.2,0.79,0.48,9.4,7
"608",10.5,0.53,0.41,8.8,6
"609",10.4,0.64,0.37,10.1,6
"610",12.7,0.52,0.19,6.3,6
"611",9.2,0.54,0.54,8.8,5
"612",9.4,0.54,0.55,13.2,5
"613",10,0.6,0,7.5,6
"614",9.8,0.74,0.38,8.2,5
"615",10.2,1.36,0.18,9.2,6
"616",9.7,0.57,0.5,9.6,5
"617",9.7,0.57,0.5,9.6,5
"618",9.8,0.93,0.51,11.5,6
"619",10.2,0.7,0.5,11.4,5
"620",9.3,0.8,0.41,11.3,5
"621",9.4,0.61,0.24,8.3,5
"622",9.4,0.62,0.23,8.2,5
"623",9.5,0.55,0.22,10,5
"624",12.1,0.96,0.25,7.9,6
"625",10.2,0.72,0,6.8,5
"626",10.2,0.72,0,6.8,5
"627",9.1,0.49,0.29,8.8,5
"628",9.1,0.49,0.29,8.8,5
"629",9.3,0.6,0.26,8.7,6
"630",9.3,0.61,0.23,7.6,5
"631",9.3,0.6,0.26,8.7,6
"632",9.5,0.63,0.54,10.4,5
"633",10.5,0.57,0.14,7.6,6
"634",11.3,0.64,0.22,10.1,4
"635",9.5,0.58,0.21,7.9,5
"636",9.7,0.55,0,8.7,5
"637",9.4,0.53,0.28,9.6,5
"638",9.4,0.53,0.27,9.5,5
"639",10.2,0.65,0.12,7.7,7
"640",10.3,1.36,0.35,8.9,6
"641",9.4,0.62,0.45,9.9,5
"642",9.5,0.63,0.44,9.5,5
"643",9.4,0.62,0.45,9.9,5
"644",9.5,0.63,0.44,9.5,5
"645",9.4,0.62,0.45,9.9,5
"646",10.1,0.69,0.1,7.8,7
"647",10.1,0.63,0.05,7.3,5
"648",11,0.58,0.01,8.3,4
"649",11.2,0.67,0.3,8.7,7
"650",11.3,0.57,0.27,6.7,6
"651",9.6,0.5,0.39,10.7,5
"652",11.2,0.67,0.25,9.8,5
"653",14.9,0.84,0.65,15.9,5
"654",12,0.54,0.59,9.4,6
"655",9.5,0.46,0.47,8.6,5
"656",9.4,0.61,0.17,9.7,5
"657",9.6,0.5,0.39,10.7,5
"658",10.5,0.68,0.59,12,7
"659",9.6,0.81,0.07,7.2,6
"660",11,0.57,0.02,7.1,4
"661",9.6,0.81,0.07,7.2,6
"662",9,0.64,0.31,7.5,5
"663",9.6,0.7,0.06,7.2,6
"664",10.2,0.79,0.46,10.1,6
"665",10.2,0.66,0.52,12.1,5
"666",9.7,0.56,0.14,9.4,5
"667",9.5,0.6,0.36,8.3,6
"668",9.2,0.66,0.45,11.3,6
"669",11,0.57,0.43,10,5
"670",9.2,0.66,0.45,11.3,6
"671",10,0.58,0.24,6.9,5
"672",9.5,0.52,0.21,8.2,5
"673",9.5,0.53,0.34,9.8,5
"674",9.5,0.52,0.21,8.2,5
"675",9.3,0.67,0.41,10.8,6
"676",10.2,0.65,0.39,9.3,5
"677",9.3,0.67,0.41,10.8,6
"678",9.9,0.48,0.11,8.6,5
"679",10,0.53,0.1,8.3,5
"680",9.6,0.54,0.45,10.8,5
"681",9,0.49,0.58,13.3,5
"682",10.2,0.49,0.23,8,6
